id,citing,cited,creation,is_citing_iris,is_cited_iris
oci:06503973856-06120795416,omid:br/06503973856,omid:br/06120795416,2023-01,false,true
oci:06702551699-0660471534,omid:br/06702551699,omid:br/0660471534,2022,false,true
oci:06190979582-06130586202,omid:br/06190979582,omid:br/06130586202,2022-08,false,true
oci:06603136863-062203030934,omid:br/06603136863,omid:br/062203030934,2022-10,true,false
oci:06203965676-06803027803,omid:br/06203965676,omid:br/06803027803,2022-12-08,false,true
oci:061403506894-06190737299,omid:br/061403506894,omid:br/06190737299,2022-09-16,true,false
oci:062203514768-06901954407,omid:br/062203514768,omid:br/06901954407,2022-10-07,true,false
oci:062503530866-064401899,omid:br/062503530866,omid:br/064401899,2022-11-14,false,true
oci:06303959762-06803144842,omid:br/06303959762,omid:br/06803144842,2022-12,true,false
oci:06502732533-0660993530,omid:br/06502732533,omid:br/0660993530,2022,false,true
oci:062503491536-0630158120,omid:br/062503491536,omid:br/0630158120,2022-11-13,false,true
oci:061402788982-06602352283,omid:br/061402788982,omid:br/06602352283,2022-09,false,true
oci:061302147192-061701537240,omid:br/061302147192,omid:br/061701537240,2022-06,false,true
oci:062202664267-062601558018,omid:br/062202664267,omid:br/062601558018,2022-07-18,true,false
oci:061702616816-061702240031,omid:br/061702616816,omid:br/061702240031,2022-06-30,true,false
oci:06803939357-06603212718,omid:br/06803939357,omid:br/06603212718,2022-11-02,false,true
oci:062501758654-06502510452,omid:br/062501758654,omid:br/06502510452,2022-07,false,true
oci:06120213054-06140770253,omid:br/06120213054,omid:br/06140770253,2022-06-30,false,true
oci:061803490962-061901670568,omid:br/061803490962,omid:br/061901670568,2023-02,false,true
oci:06140106908-0670424677,omid:br/06140106908,omid:br/0670424677,2022-09,false,true
oci:06903536237-061201196640,omid:br/06903536237,omid:br/061201196640,2022-12,true,false
oci:06803959875-06230333202,omid:br/06803959875,omid:br/06230333202,2022-10-07,false,true
oci:06603971612-061602668904,omid:br/06603971612,omid:br/061602668904,2022-10,true,false
oci:062203514879-06501775406,omid:br/062203514879,omid:br/06501775406,2022-10-06,false,true
oci:06503968935-064301338,omid:br/06503968935,omid:br/064301338,2022-11-14,false,true
oci:06260405907-062601315954,omid:br/06260405907,omid:br/062601315954,2022-06-28,true,false
oci:061402065931-061901518957,omid:br/061402065931,omid:br/061901518957,2022-06-30,true,false
oci:06703933182-064901367,omid:br/06703933182,omid:br/064901367,2022-10-06,false,true
oci:06190979568-0660294058,omid:br/06190979568,omid:br/0660294058,2022-09,false,true
oci:06190281424-064701810,omid:br/06190281424,omid:br/064701810,2022-07,false,true
oci:06703920312-06170539877,omid:br/06703920312,omid:br/06170539877,2022-11,false,true
oci:061403466016-06120868950,omid:br/061403466016,omid:br/06120868950,2022,false,true
oci:061503490943-06801167801,omid:br/061503490943,omid:br/06801167801,2022-11,true,true
oci:06503931248-061802029191,omid:br/06503931248,omid:br/061802029191,2022-10-10,false,true
oci:061403416990-06601040621,omid:br/061403416990,omid:br/06601040621,2022-11,true,false
oci:061601444199-06140344234,omid:br/061601444199,omid:br/06140344234,2022-07-13,false,true
oci:062303532729-06210417640,omid:br/062303532729,omid:br/06210417640,2022-08,false,true
oci:061503490943-0629046161,omid:br/061503490943,omid:br/0629046161,2022-11,true,false
oci:06303964449-064801528,omid:br/06303964449,omid:br/064801528,2022-12,false,true
oci:06303939914-061903133554,omid:br/06303939914,omid:br/061903133554,2022-12,false,true
oci:06303963894-061303111495,omid:br/06303963894,omid:br/061303111495,2022-12,false,true
oci:062303546312-062101200084,omid:br/062303546312,omid:br/062101200084,2022-08,true,false
oci:062203514315-062202828912,omid:br/062203514315,omid:br/062202828912,2022-11,true,true
oci:061803485755-061401182564,omid:br/061803485755,omid:br/061401182564,2023-03,true,false
oci:061703572340-06302306583,omid:br/061703572340,omid:br/06302306583,2022-11-14,false,true
oci:06203919573-06501554312,omid:br/06203919573,omid:br/06501554312,2022-11,false,true
oci:06903568853-061601692508,omid:br/06903568853,omid:br/061601692508,2022-11-14,false,true
