flow,citing_loc_label,cited_loc_label,weight
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,POLITICAL SCIENCE,3617
Internal,POLITICAL SCIENCE,MEDICINE,3580
Outgoing,AGRICULTURE,LANGUAGE AND LITERATURE,3514
Incoming,TECHNOLOGY,PHILOSOPHY. PSYCHOLOGY. RELIGION,3509
Incoming,EDUCATION,Others,3507
Incoming,POLITICAL SCIENCE,Others,3486
Internal,SOCIAL SCIENCES,EDUCATION,3376
Internal,SOCIAL SCIENCES,POLITICAL SCIENCE,3375
Internal,POLITICAL SCIENCE,SOCIAL SCIENCES,3365
Internal,EDUCATION,SOCIAL SCIENCES,3360
Internal,Others,MEDICINE,3346
Incoming,Others,EDUCATION,3278
Incoming,Others,POLITICAL SCIENCE,3275
Internal,MEDICINE,EDUCATION,3273
Outgoing,Others,PHILOSOPHY. PSYCHOLOGY. RELIGION,3238
Internal,MEDICINE,POLITICAL SCIENCE,3196
Incoming,Others,AGRICULTURE,3191
Outgoing,Multidisciplinary,SOCIAL SCIENCES,3187
Internal,POLITICAL SCIENCE,POLITICAL SCIENCE,3115
Internal,POLITICAL SCIENCE,EDUCATION,3114
Internal,EDUCATION,EDUCATION,3113
Internal,EDUCATION,POLITICAL SCIENCE,3110
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,Others,2882
Outgoing,Others,AGRICULTURE,2866
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,TECHNOLOGY,2842
Internal,TECHNOLOGY,GEOGRAPHY. ANTHROPOLOGY. RECREATION,2832
Outgoing,LANGUAGE AND LITERATURE,AGRICULTURE,2792
Outgoing,Multidisciplinary,EDUCATION,2661
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,TECHNOLOGY,2641
Outgoing,Multidisciplinary,POLITICAL SCIENCE,2629
Incoming,Multidisciplinary,PHILOSOPHY. PSYCHOLOGY. RELIGION,2470
Outgoing,TECHNOLOGY,LANGUAGE AND LITERATURE,2449
Incoming,Multidisciplinary,SOCIAL SCIENCES,2444
Internal,SCIENCE,Others,2444
