flow,citing_loc_label,cited_loc_label,weight
Internal,EDUCATION,SOCIAL SCIENCES,2652
Incoming,Others,PHILOSOPHY. PSYCHOLOGY. RELIGION,2645
Outgoing,Others,AGRICULTURE,2626
Incoming,AGRICULTURE,PHILOSOPHY. PSYCHOLOGY. RELIGION,2590
Internal,SOCIAL SCIENCES,EDUCATION,2589
Internal,SOCIAL SCIENCES,POLITICAL SCIENCE,2588
Internal,EDUCATION,SCIENCE,2496
Internal,POLITICAL SCIENCE,SCIENCE,2488
Internal,POLITICAL SCIENCE,EDUCATION,2386
Internal,POLITICAL SCIENCE,POLITICAL SCIENCE,2385
Internal,EDUCATION,EDUCATION,2385
Internal,EDUCATION,POLITICAL SCIENCE,2383
Internal,SCIENCE,SOCIAL SCIENCES,2318
Outgoing,LANGUAGE AND LITERATURE,AGRICULTURE,2299
Incoming,Others,EDUCATION,2191
Incoming,Others,POLITICAL SCIENCE,2189
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,AGRICULTURE,2172
Incoming,Multidisciplinary,PHILOSOPHY. PSYCHOLOGY. RELIGION,2150
Internal,SOCIAL SCIENCES,MEDICINE,2140
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,Others,2097
Internal,MEDICINE,Others,2058
Internal,SCIENCE,EDUCATION,2049
Internal,POLITICAL SCIENCE,MEDICINE,2022
Internal,EDUCATION,MEDICINE,2021
Internal,SCIENCE,POLITICAL SCIENCE,2014
Incoming,Others,AGRICULTURE,1998
Internal,MEDICINE,SOCIAL SCIENCES,1992
Incoming,Multidisciplinary,SOCIAL SCIENCES,1980
Outgoing,LANGUAGE AND LITERATURE,Multidisciplinary,1964
Internal,MEDICINE,EDUCATION,1925
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,TECHNOLOGY,1908
Internal,MEDICINE,POLITICAL SCIENCE,1884
Outgoing,TECHNOLOGY,LANGUAGE AND LITERATURE,1880
Internal,TECHNOLOGY,GEOGRAPHY. ANTHROPOLOGY. RECREATION,1850
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,PHILOSOPHY. PSYCHOLOGY. RELIGION,1758
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,TECHNOLOGY,1712
Incoming,Multidisciplinary,EDUCATION,1674
Incoming,Multidisciplinary,POLITICAL SCIENCE,1659
Outgoing,Others,Multidisciplinary,1636
Outgoing,Multidisciplinary,LANGUAGE AND LITERATURE,1621
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,1578
Outgoing,Others,LANGUAGE AND LITERATURE,1554
Internal,Others,Others,1540
Internal,SOCIAL SCIENCES,PHILOSOPHY. PSYCHOLOGY. RELIGION,1517
Internal,Others,MEDICINE,1492
Internal,SCIENCE,Others,1439
Internal,EDUCATION,PHILOSOPHY. PSYCHOLOGY. RELIGION,1435
